Title,Price in Tenge,Operating system,Display diagonal,Memory(GB),Main Camera,Front Camera,Delivery,Manufacturer,Features,Color
"Смартфон Xiaomi Poco X3 Pro 8/256GB, Phantom Black",129990,Android 11,"6.67""",256Гб,48 МП + 8 МП + 2 МП + 2 МП,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Poco X3 Pro, Цвет передней панели:чёрный, Серия смартфона:Poco X3 Pro, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:есть, ",чёрный
Смартфон Samsung Galaxy S20 FE (new) Red (SM-G780GZRDSKZ),269890,Android 10,"6.5""",128Гб,12+12+8,32,бесплатно,Samsung,"Количество SIM-карт:1 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Galaxy S20 FE (SM-G780GZRDSKZ), Серия смартфона:Galaxy S20 FE, Автофокусировка:нет, Встроенная вспышка:нет, ",Red
Смартфон Samsung Galaxy S20 FE (new) Green (SM-G780GZGDSKZ),269890,Android 10,"6.5""",128Гб,12+12+8,32,бесплатно,Samsung,"Количество SIM-карт:1 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Galaxy S20 FE (SM-G780GZGDSKZ), Серия смартфона:Galaxy S20 FE, Автофокусировка:нет, Встроенная вспышка:нет, ",Green
Смартфон Samsung Galaxy S20 FE (new) Lavender (SM-G780GLVDSKZ),269890,Android 10,"6.5""",128Гб,12+12+8,32,бесплатно,Samsung,"Количество SIM-карт:1 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Galaxy S20 FE (SM-G780GLVDSKZ), Серия смартфона:Galaxy S20 FE, Автофокусировка:нет, Встроенная вспышка:нет, ",Lavender
"Смартфон Xiaomi Redmi 9C 128GB, Midnight Gray",69990,Android 10,"6.53""",128Мб,13+2+2,5,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:9C, Цвет передней панели:серый, Серия смартфона:Redmi 9C, Автофокусировка:есть, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",серый
Смартфон Apple iPhone 13 512 GB Midnight (MLP83RK/A),679890,iOS 15,"6.1""",512Гб,12,12,бесплатно,Apple,"Количество SIM-карт:1 SIM, Разрешение экрана:2532×1170, Технология изготовления экрана:Super Retina XDR, Количество ядер:6, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:iPhone 13, Серия смартфона:iPhone 13, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",Midnight
Смартфон Apple iPhone 13 512 GB Blue (MLPD3RK/A),679890,iOS 15,"6.1""",512Гб,12,12,бесплатно,Apple,"Количество SIM-карт:1 SIM, Разрешение экрана:2532×1170, Технология изготовления экрана:Super Retina XDR, Количество ядер:6, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:iPhone 13, Серия смартфона:iPhone 13, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",Blue
"Смартфон Xiaomi Poco X3 Pro 8/256GB, Metal Bronze",129990,Android 11,"6.67""",256Гб,48 МП + 8 МП + 2 МП + 2 МП,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Poco X3 Pro, Цвет передней панели:чёрный, Серия смартфона:Poco X3 Pro, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:есть, ",бронзовый
"Смартфон OPPO Reno 6, Stellar Black",249990,Собственная,"6.4""",128Гб,64,44,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Reno 6, Цвет передней панели:чёрный, Серия смартфона:Reno 6, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
Смартфон Apple iPhone 13 256 GB Pink (MLP53RK/A),559890,iOS 15,"6.1""",256Гб,12,12,бесплатно,Apple,"Количество SIM-карт:1 SIM, Разрешение экрана:2532×1170, Технология изготовления экрана:Super Retina XDR, Количество ядер:6, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:iPhone 13, Серия смартфона:iPhone 13, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",Pink
"Смартфон OPPO Reno 6, Aurora",249990,Собственная,"6.4""",128Гб,64,44,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Reno 6, Цвет передней панели:чёрный, Серия смартфона:Reno 6, Автофокусировка:нет, Встроенная вспышка:есть, ",голубой
