Title,Price,Operating_system,Display_diagonal,Memory,Main_Camera,Front_Camera,Delivery,Manufacturer,Manufacturer_country,Features,Color
Смартфон Samsung Galaxy Z Flip3 8/256GB Green,579890,Android 11,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Водонепроницаемость IPX8,Зеленый
Смартфон Samsung Galaxy Z Flip3 8/256GB Violet,579890,Android,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Мультиактивное окно,Фиолетовый
Смартфон Samsung Galaxy Z Fold 2 Brown,599890,Android 10,"7,6″ - 177,8 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Южная Корея,"Складной экран, смартфон-планшет,Технология САМ, Функция App Countinuity, тройная камера",Коричневый
Смартфон Samsung Galaxy Z Fold3 12/256GB Black,899890,Android 11,"7,6″ - 177,8 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Южная Корея,Водонепроницаемость IPX8,Черный
Смартфон Samsung Galaxy Z Fold3 12/256GB Green,899890,Android,"7,6″ - 177,8 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,10 Mpx + 4 Mpx,бесплатно,Samsung,Южная Корея,"Совместимость с S Pen, быстрая зарядка",Зеленый
Смартфон Samsung Galaxy Z Fold3 12/256GB Silver,899890,Android,"7,6″ - 177,8 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Южная Корея,Быстрая зарядка,Серебристый
Смартфон Samsung Galaxy Z Fold3 12/512GB Black,999890,Android 11,"7,6″ - 177,8 мм",512 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Южная Корея,Водонепроницаемость IPX8,Черный
Смартфон Samsung Galaxy Z Fold3 12/512GB Green,999890,Android,"7,6″ - 177,8 мм",512 GB,12 Mpx + 12 Mpx + 12 Mpx,10 Mpx + 4 Mpx,бесплатно,Samsung,Южная Корея,"Совместимость с S Pen, быстрая зарядка",Зеленый
Смартфон Samsung Galaxy Z Fold3 12/512GB Silver,999890,Android,"7,6″ - 177,8 мм",512 GB,12 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Южная Корея,Быстрая зарядка,Серебристый
Смартфон Techno Camon 16 SE (CE7j) 6/128GB Cloud White,89990,Android 10,"6,8″ - 17,27 см",128 Мб,48 Mpx + 2 Mpx + 2 Mpx + AI,16 Mpx,бесплатно,Tecno,Китай,"Сканер лица. Сканер отпечатка пальца. Акселерометр, датчик приближения, датчик освещенности, датчик положения экрана. Функция быстрой зарядки",Белый
