Country_name,Total_cases,Total_deaths,Total_recovered,Active_cases,New_cases,New_deaths,Total_tests,Population
North Macedonia,"278,182","8,578 ","257,280","12,324",,,"1,818,882","2,083,237 "
Cyprus,"273,634",745 ,"124,370","148,519",,,"9,477,138","1,221,402 "
Albania,"264,624","3,380 ","247,636","13,608",,,"1,686,583","2,872,775 "
Algeria,"257,976","6,646 ","171,541","79,789",,,"230,861","45,115,385 "
Botswana,"256,041","2,585 ","248,771","4,685",,,"2,026,898","2,427,430 "
Nigeria,"253,727","3,139 ","230,126","20,462",,,"4,116,369","214,293,255 "
Zimbabwe,"230,402","5,362 ","221,027","4,013",,,"2,003,328","15,208,483 "
Uzbekistan,"229,628","1,586 ","212,649","15,393",+832,+2,"1,377,915","34,243,909 "
Réunion,"226,005",531 ,"165,236","60,238",,,"1,424,291","905,521 "
Mozambique,"224,339","2,183 ","217,112","5,044",,,"1,236,564","32,652,551 "
Montenegro,"223,462","2,601 ","216,382","4,479",,,"1,129,125","628,193 "
Kyrgyzstan,"199,519","2,905 ","191,089","5,525",+83,+3,"1,907,195","6,696,084 "
Afghanistan,"166,924","7,442 ","147,079","12,403",+637,+8,"866,733","40,327,717 "
Luxembourg,"165,958",958 ,"133,735","31,265",,,"4,003,503","642,241 "
Uganda,"162,308","3,561 ","99,439","59,308",+35,+4,"2,380,897","48,045,131 "
Ghana,"157,646","1,415 ","155,124","1,107",+105,+3,"2,264,272","32,108,370 "
Namibia,"156,371","3,980 ","148,048","4,343",,,"929,697","2,614,379 "
Maldives,"150,337",283 ,"132,872","17,182",,,"2,098,363","555,746 "
Laos,"136,720",574 ,"7,660","128,486",+282,+5,"980,587","7,444,178 "
El Salvador,"135,109","3,942 ","120,327","10,840",,,"1,627,890","6,538,502 "
Rwanda,"129,141","1,446 ","45,522","82,173",,,"4,570,580","13,464,607 "
Jamaica,"125,993","2,694 ","71,439","51,860",,,"808,366","2,981,821 "
Cambodia,"121,881","3,015 ","118,212",654,+108,,"2,808,095","17,088,530 "
Cameroon,"116,718","1,880 ","106,050","8,788",,,"1,751,774","27,600,392 "
Trinidad and Tobago,"115,270","3,460 ","91,414","20,396",,,"587,130","1,406,730 "
Guadeloupe,"113,966",795 ,"2,250","110,921",,,"830,521","400,233 "
Angola,"98,364","1,896 ","95,896",572,,,"1,391,201","34,497,050 "
Martinique,"92,796",841  ,104,"91,851",,,"602,739","374,800 "
DRC,"85,510","1,278 ","50,930","33,302",,,"846,704","93,904,857 "
Senegal,"85,237","1,956 ","82,203","1,078",+31,,"989,244","17,448,007 "
Malawi,"84,813","2,571 ","70,497","11,745",,,"533,542","19,918,770 "
Ivory Coast,"80,920",786 ,"78,604","1,530",,,"1,368,984","27,420,708 "
Iceland,"78,201",50 ,"66,541","11,610","+1,367",+1,"1,638,467","344,782 "
French Guiana,"76,509",383 ,"11,254","64,872",,,"572,233","311,036 "
Suriname,"75,531","1,283 ","49,296","24,952",+129,+4,"219,589","595,030 "
Malta,"69,175",570 ,"65,862","2,743",+175,+1,"1,211,456","443,422 "
Eswatini,"68,553","1,378 ","66,957",218,,,"462,142","1,179,354 "
Fiji,"63,356",813  ,"60,937","1,606",+29,+2,"493,403","906,824 "
Guyana,"61,600","1,181 ","54,745","5,674",,,"517,421","792,617 "
Madagascar,"61,434","1,307 ","54,687","5,440",,,"379,426","28,827,009 "
Sudan,"58,874","3,588 ","40,329","14,957",,,"562,941","45,483,322 "
Mauritania,"58,458",967 ,"56,548",943,,,"701,675","4,844,679 "
Cabo Verde,"55,785",397 ,"55,231",157,,,"400,982","565,634 "
Belize,"53,544",629 ,"45,711","7,204",,,"471,284","409,154 "
Syria,"51,915","3,008 ","40,573","8,334",,,"146,269","18,179,145 "
French Polynesia,"49,521",636 ,N/A,N/A,,,,"283,503 "
Barbados,"48,239",286 ,"35,911","12,042",,,"552,200","287,937 "
Gabon,"47,247",302 ,"42,857","4,088",,,"1,548,158","2,309,555 "
Channel Islands,"43,739",135 ,"40,278","3,326",,,"1,189,402","176,423 "
Seychelles,"38,120",157 ,"36,737","1,226",+349,+3,,"99,320 "
Curaçao,"37,809",246 ,"36,291","1,272",,,"460,624","165,165 "
Burundi,"37,562",38 ,773,"36,751",,,"345,742","12,455,734 "
Papua New Guinea,"37,390",597 ,"35,938",855,,,"249,149","9,217,619 "
Andorra,"36,599",147 ,"34,223","2,229",,,"249,838","77,463 "
Togo,"36,593",268 ,"33,799","2,526",,,"668,421","8,588,405 "
Mayotte,"36,474",187 ,"2,964","33,323",,,"176,919","283,320 "
Guinea,"36,270",432 ,"32,582","3,256",+2,+2,"584,902","13,701,179 "
Aruba,"33,302",195 ,"32,938",169,,,"177,885","107,490 "
Tanzania,"33,230",789 ,N/A,N/A,,,,"62,448,728 "
Bahamas,"32,773",753 ,"25,107","6,913",,,"212,152","399,247 "
Lesotho,"32,258",694 ,"22,054","9,510",,,"380,776","2,169,383 "
Mali,"30,205",715 ,"26,813","2,677",,,"601,777","21,181,396 "
Haiti,"29,715",804 ,"24,831","4,080",,,"132,422","11,624,569 "
New Caledonia,"28,628",284 ,"16,131","12,213","+2,848",,"98,964","289,883 "
Mauritius,"26,865",762 ,"25,684",419,+180,,"358,675","1,275,141 "
Benin,"26,498",163 ,"25,506",829,,,"604,310","12,629,899 "
Somalia,"26,067","1,335 ","13,182","11,550",,,"400,466","16,600,677 "
Faeroe Islands,"24,006",20 ,"7,693","16,293",,,"759,000","49,160 "
Congo,"23,705",371 ,"20,178","3,156",,,"347,815","5,734,845 "
Isle of Man,"21,889",73 ,"21,340",476,,,"150,753","85,752 "
Saint Lucia,"21,513",341 ,"17,841","3,331",,,"128,357","184,968 "
Burkina Faso,"20,679",372 ,"20,227",80,,,"244,764","21,817,822 "
Timor-Leste,"20,501",122 ,"19,768",611,+98,,"236,137","1,358,538 "
Taiwan,"19,192",851 ,"17,100","1,241",+49,,"10,656,600","23,885,665 "
Brunei,"18,152",98 ,"16,178","1,876",+368,,"705,356","444,171 "
New Zealand,"17,988",53 ,"15,228","2,707",+215,,"6,168,565","5,002,100 "
Nicaragua,"17,709",217 ,"4,225","13,267",,,,"6,750,455 "
Tajikistan,"17,347",124 ,"17,195",28,,,,"9,879,581 "
South Sudan,"16,833",137 ,"13,077","3,619",,,"325,097","11,403,365 "
